"","country","confirmed","confirmed_per_100k","deaths","deaths_per_100k","mortality_rate","population","pop_density","pop_0_14_2018","pop_15_64_2018","pop_65_over_2018","gdp_capita"
"1","Antigua and Barbuda",24,24.9257420601126,3,3.11571775751407,12.5,96286,218.831818181818,22.0810917475022,69.1190827326922,8.79982551980558,15134.8841569088
"2","Bahamas",80,20.7447360232341,11,2.85240120319469,13.75,385640,38.5254745254745,22.4848756732367,70.2575219701429,7.25760235662035,27261.2144822129
"3","Belize",18,4.69886783390024,2,0.522096425988916,11.1111111111111,383071,16.7939938623411,30.2797653698662,64.9837758535624,4.73645877657144,4248.99905543377
"4","Barbados",79,27.560607170642,6,2.093210671188,7.59493670886076,286641,666.606976744186,17.342948147683,66.8543578901832,15.8026939621338,16018.0411266686
"5","Dominica",16,22.3385689354276,0,0,0,71625,95.5,NA,NA,NA,6694.34637135228
"6","Grenada",18,16.1501606043749,0,0,0,111454,327.805882352941,23.5612898594936,66.8168033448777,9.62190679562869,9096.32995901451
"7","Guyana",74,9.49930937453466,8,1.02695236481456,10.8108108108108,779004,3.95734823469647,28.214545202476,65.335183554427,6.45027124309697,3992.22625949241
"8","Haiti",74,0.665277614954578,6,0.0539414282395604,8.10810810810811,11123176,403.59854862119,33.242244257891,61.8083518936764,4.94940384843253,730.296713024986
"9","Jamaica",350,11.9256317603425,7,0.23851263520685,2,2934855,270.993074792244,23.7500966830639,67.4532607662342,8.79664255070196,4855.26207081811
"10","Saint Kitts and Nevis",15,28.6035735397876,0,0,0,52441,201.696153846154,NA,NA,NA,16942.6664176757
"11","Saint Lucia",15,8.24678787612225,0,0,0,181889,298.17868852459,18.5288830000715,71.6645866435024,9.80653035642617,8485.27171394218
"12","Suriname",10,1.73613823827108,1,0.173613823827108,10,575991,3.69225,27.170263372628,65.9233667251168,6.90636990225525,8040.94011128172
"13","Trinidad and Tobago",115,8.27422657566456,8,0.575598370481013,6.95652173913043,1389858,270.927485380117,20.419572570427,68.8454739132406,10.7349535163324,15161.0684555798
"14","Saint Vincent and the Grenadines",14,12.7030215044007,0,0,0,110210,282.589743589744,22.5413071290525,67.8689060075673,9.58978686338024,6852.60660188886
